"reporting_country","clade","date","clade_group"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-23,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Thailand",NA,2023-10-30,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
"Indonesia",NA,NA,"Others"
